Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,min,max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Group Ranking?,Field Annotation
tre_ph_4_dose_titre,treatment_beta,,radio,"[Phage: ""[pre_phage5_name]""] Phage titre to be administered/dose","10e8, 10^8 pfu/mL | 10e9, 10^9 pfu/mL | 10e10, 10^10 pfu/mL | 10e11, 10^11 pfu/mL",,,,,,"[sc_meets_inclusion] = ""1"" and [pre_phage5_name] and [pre_num_phage]>4",y,,,,,
tre_ph_4_dose_volume,treatment_beta,,text,"[Phage: ""[pre_phage5_name]""] Volume to be administered/dose",,XXX.X mL,number_1dp,,,,"[sc_meets_inclusion] = ""1"" and [pre_phage5_name] and [pre_num_phage]>4",y,,,,,
tre_ph_4_aero_rt_endo,treatment_beta,,text,"[Phage: ""[pre_phage5_name]""][Route:  Aerosolised / Nebulised] Endotoxin amount administered/dose",,X.X EU/kg,number_1dp,0,5.1,,"[sc_meets_inclusion] = ""1"" and [pre_phage5_name] and [pre_num_phage]>4 and ([tre_ph_4_rt(aero)] = '1')",y,,,,,
tre_ph_4_first_dose_date,treatment_beta,,text,"[Phage: ""[pre_phage5_name]""] Date of first dose of phage administered",,,date_dmy,,,,"[sc_meets_inclusion] = ""1"" and [pre_phage5_name] and [pre_num_phage]>4",y,,,,,
tre_ph_4_instl_rt_endo,treatment_beta,,text,"[Phage: ""[pre_phage5_name]""][Route:  Instillation] Endotoxin amount administered/dose",,X.X EU/kg,number_1dp,0,5.1,,"[sc_meets_inclusion] = ""1"" and [pre_phage5_name] and [pre_num_phage]>4 and ([tre_ph_4_rt(instl)] = '1')",y,,,,,
tre_ph_4_iv_rt_endo,treatment_beta,,text,"[Phage: ""[pre_phage5_name]""][Route:  Intravenous (IV)] Endotoxin amount administered/dose",,X.X EU/kg,number_1dp,0,5.1,,"[sc_meets_inclusion] = ""1"" and [pre_phage5_name] and [pre_num_phage]>4 and ([tre_ph_4_rt(iv)] = '1')",y,,,,,
tre_ph_4_oral_rt_endo,treatment_beta,,text,"[Phage: ""[pre_phage5_name]""][Route:  Oral / Enteral] Endotoxin amount administered/dose",,X.X EU/kg,number_1dp,0,5.1,,"[sc_meets_inclusion] = ""1"" and [pre_phage5_name] and [pre_num_phage]>4 and ([tre_ph_4_rt(oral)] = '1')",y,,,,,
tre_ph_4_topic_rt_endo,treatment_beta,,text,"[Phage: ""[pre_phage5_name]""][Route:  Topical] Endotoxin amount administered/dose",,X.X EU/kg,number_1dp,0,5.1,,"[sc_meets_inclusion] = ""1"" and [pre_phage5_name] and [pre_num_phage]>4 and ([tre_ph_4_rt(topic)] = '1')",y,,,,,
tre_ph_4_other_rt_endo,treatment_beta,,text,"[Phage: ""[pre_phage5_name]""][Route:  Other] Endotoxin amount administered/dose",,X.X EU/kg,number_1dp,0,5.1,,"[sc_meets_inclusion] = ""1"" and [pre_phage5_name] and [pre_num_phage]>4 and ([tre_ph_4_rt(other)] = '1')",y,,,,,
trivcl_no_inclusion_msg,treatment_iv_clinical_beta,,descriptive,"<div class=""rich-text-field-label""><h3><span style=""background-color: #e03e2d; color: #ffffff;"">     Patient DOES NOT MEET INCLUSION CRITERIA     </span></h3></div>",,,,,,,[sc_meets_inclusion] < 1,,,,,,
triv_descriptive,treatment_iv_clinical_beta,,descriptive,"<div class=""header"">Clinical IV Administration. <br><br>This page opens when IV or oral/enteral phage therapy is selected from the Treatment page. </div>",,,,,,,,,,,,,
trivcl_day,treatment_iv_clinical_beta,,radio,Select clinical day of treatment — [trivcl_day],"0, D0 | 1, D1 | 2, D2 | 3, D3 | 4, D4 | 5, D5 | 6, D6 | 7, D7 | 8, D8 | 9, D9 | 10, D10 | 11, D11 | 12, D12 | 13, D13 | 14, D14 | 15, D15-28 | 29, D29",,,,,,"[sc_meets_inclusion] = ""1"" and ([tre_ph_0_rt(iv)] = '1' or [tre_ph_0_rt(oral)] = '1') or ([tre_ph_1_rt(iv)] = '1' or [tre_ph_1_rt(oral)] = '1') or ([tre_ph_2_rt(iv)] = '1' or [tre_ph_2_rt(oral)] = '1') or ([tre_ph_3_rt(iv)] = '1' or [tre_ph_3_rt(oral)] = '1') or ([tre_ph_4_rt(iv)] = '1' or [tre_ph_4_rt(oral)] = '1')",y,,,,,
trivcl_d0_confirm,treatment_iv_clinical_beta,,checkbox,[D0] Confirm full clinical exam,"yes, Patient has received full clinical exam",,,,,,[trivcl_day] = '0',y,,,,,
trivcl_1_doses,treatment_iv_clinical_beta,,radio,Number of doses (select 1 or 2),"1,1 | 2,2",,,,,,([trivcl_day] > 0 and [trivcl_day] <= 14),y,,,,,
trivcl_1_doses1_7_adjusted,treatment_iv_clinical_beta,,yesno,"Dose adjusted based on ""kinetics"" results (yes/no)?",,Dose #1,,,,,[trivcl_day] > 3 and [trivcl_day] <= 14,y,,,,,
trivcl_1_doses1_7_adjusted_inc_dec,treatment_iv_clinical_beta,,radio,"[1] If yes, selected dose increased/dose reduced?","inc, Dose increased | dec, Dose decreased",,,,,,[trivcl_day] > 3 and [trivcl_day] <= 14 and [trivcl_1_doses1_7_adjusted] = '1',y,,,,,
trivcl_1_doses1_vitals,treatment_iv_clinical_beta,,checkbox,Confirm vitals taken pre-dose,"confirmed,Confirmed",Dose #1,,,,,([trivcl_day] > 0 and [trivcl_day] <= 14) and [trivcl_1_doses]>='1',y,,,,,
trivcl_1_doses1_vitals_15m,treatment_iv_clinical_beta,,checkbox,Confirm vitals taken 15 minutes after dose,"confirmed,Confirmed",Dose #1,,,,,([trivcl_day] > 0 and [trivcl_day] <= 14) and [trivcl_1_doses]>='1',y,,,,,
trivcl_1_doses1_vitals_30m,treatment_iv_clinical_beta,,checkbox,Confirm vitals taken 30 minutes after dose?,"confirmed,Confirmed",Dose #1,,,,,([trivcl_day] > 0 and [trivcl_day] <= 14) and [trivcl_1_doses]>='1',y,,,,,
trivcl_1_doses2_7_adjusted,treatment_iv_clinical_beta,,yesno,"Dose adjusted based on ""kinetics"" results (yes/no)?",,Dose #2,,,,,[trivcl_day] > 3 and [trivcl_day] <= 14,y,,,,,
trivcl_1_doses2_7_adjusted_inc_dec,treatment_iv_clinical_beta,,radio,"[2] If yes, selected dose increased/dose reduced?","inc, Dose increased | dec, Dose decreased",,,,,,[trivcl_day] > 3 and [trivcl_day] <= 14 and [trivcl_1_doses2_7_adjusted] = '1',y,,,,,
trivcl_1_doses2_vitals,treatment_iv_clinical_beta,,checkbox,Confirm vitals taken pre-dose,"confirmed,Confirmed",Dose #2,,,,,([trivcl_day] > 0 and [trivcl_day] <= 14) and [trivcl_1_doses]>='2',y,,,,,
trivcl_1_doses2_vitals_15m,treatment_iv_clinical_beta,,checkbox,Confirm vitals taken 15 minutes after dose,"confirmed,Confirmed",Dose #2,,,,,([trivcl_day] > 0 and [trivcl_day] <= 14) and [trivcl_1_doses]>='2',y,,,,,
trivcl_1_doses2_vitals_30m,treatment_iv_clinical_beta,,checkbox,Confirm vitals taken 30 minutes after dose?,"confirmed,Confirmed",Dose #2,,,,,([trivcl_day] > 0 and [trivcl_day] <= 14) and [trivcl_1_doses]>='2',y,,,,,
trivcl_2_dev,treatment_iv_clinical_beta,,yesno,Protocol deviation?,,,,,,,([trivcl_day] > 0 and [trivcl_day] <= 14),y,,,,,
trivcl_2_dev_desc,treatment_iv_clinical_beta,,notes,Describe the protocol deviation,,,,,,,[trivcl_2_dev] = '1',y,,,,,
trivcl_3_fever_high,treatment_iv_clinical_beta,,yesno,Did fever (temp > 37.9 °C) occur today (yes/no)?,,,,,,,([trivcl_day] > 0 and [trivcl_day] <= 14),y,,,,,
trivcl_3_fever_high_pre_next_mo,treatment_iv_clinical_beta,,text,Specify max temp occurring prior to morning dose of next day (XX.X °C),,,number_1dp,,,,[trivcl_3_fever_high] = '1',y,,,,,
trivcl_3_fever_high_time_of_max,treatment_iv_clinical_beta,,text,Specify time of max fever in hours after morning phage dose (X.X hours),,,number_1dp,,,,[trivcl_3_fever_high] = '1',y,,,,,
trivcl_4_tachy,treatment_iv_clinical_beta,,yesno,Did tachycardia occur today (yes/no)?,,,,,,,([trivcl_day] > 0 and [trivcl_day] <= 14),y,,,,,
trivcl_4_tachy_max_hr,treatment_iv_clinical_beta,,text,Specify max HR occurring prior to morning dose of next day,,,integer,,,,[trivcl_4_tachy] = '1',y,,,,,
trivcl_4_tachy_time_of_max,treatment_iv_clinical_beta,,text,Specify time of max HR in hours after phage dose (X.X hours),,,number_1dp,,,,[trivcl_4_tachy] = '1',y,,,,,
trivcl_5_pain,treatment_iv_clinical_beta,,yesno,Did pain occur today (greater than any baseline pain) - yes/no?,,,,,,,([trivcl_day] > 0 and [trivcl_day] <= 14),y,,,,,
trivcl_5_pain_hours_after,treatment_iv_clinical_beta,,text,Specify time of pain occurrence in hours after phage dose (X.X hours),,,number_1dp,,,,[trivcl_5_pain] = '1',y,,,,,
trivcl_5_pain_site,treatment_iv_clinical_beta,,text,Specify site of pain,,,,,,,[trivcl_5_pain] = '1',y,,,,,@CHARLIMIT=50
trivcl_6_inflam,treatment_iv_clinical_beta,,yesno,Any other signs or symptoms of inflammatory response (yes/no)?,,,,,,,([trivcl_day] > 0 and [trivcl_day] <= 14),y,,,,,
trivcl_6_inflam_hours_after,treatment_iv_clinical_beta,,notes,"If yes, specify what occurred",,,,,,,[trivcl_6_inflam] = '1',y,,,,,
trivcl_6_inflam_site,treatment_iv_clinical_beta,,text,Also specify time of occurrence in hours after morning phage dose (X.X hours),,,number_1dp,,,,[trivcl_6_inflam] = '1',y,,,,,
trivcl_d15_28_cont_pht,treatment_iv_clinical_beta,,yesno,Is patient still receiving phage therapy (yes/no)? ,,,,,,,[trivcl_day] = '15',y,,,,,
trivcl_d15_28_doses,treatment_iv_clinical_beta,,radio,Number of doses/day,"1,1 | 2,2 | 3,Has changed during this time",,,,,,[trivcl_day] = '15' and [trivcl_d15_28_cont_pht] = '1',y,,,,,
trivcl_d15_28_pht_vitals,treatment_iv_clinical_beta,,yesno,Were vitals checked each day of treatment as per protocol (yes/no)?,,,,,,,[trivcl_day] = '15' and [trivcl_d15_28_cont_pht] = '1' ,y,,,,,
trivcl_d15_28_4wks,treatment_iv_clinical_beta,,yesno,Will treatment continue >4 weeks (yes/no)?,,,,,,,[trivcl_day] = '15' and [trivcl_d15_28_cont_pht] = '1' ,y,,,,,
trivcl_d15_28_pht_days,treatment_iv_clinical_beta,,radio,How many days of phage therapy did participant receive? Enter a number between 15 to 28 (inclusive),"15,15 | 16,16 | 17,17 | 18,18 | 19,19 | 20,20 | 21,21 | 22,22 | 23,23 | 24,24 | 25,25 | 26,26 | 27,27 | 28,28",,,,,,[trivcl_day] = '15' and [trivcl_d15_28_4wks] = '0' ,y,,,,,
trivcl_d15_28_hi_fever,treatment_iv_clinical_beta,,yesno,Did fever (temp > 37.9 °C) occur on any (yes/no)?,,,,,,,[trivcl_day] = '15' and [trivcl_d15_28_cont_pht] = '1' ,y,,,,,
trivcl_d15_28_hi_fever_days,treatment_iv_clinical_beta,,checkbox,Specify day(s) of fever,"15,15 | 16,16 | 17,17 | 18,18 | 19,19 | 20,20 | 21,21 | 22,22 | 23,23 | 24,24 | 25,25 | 26,26 | 27,27 | 28,28",,,,,,[trivcl_day] = '15' and [trivcl_d15_28_cont_pht] = '1' and [trivcl_d15_28_hi_fever] = '1',y,,,,,
trivcl_d15_28_hi_fever_d15,treatment_iv_clinical_beta,,text,Specify the max fever occurring in 24 hours after 6am for day D15,,,number,,,,[trivcl_d15_28_hi_fever_days(15)] = '1' ,,,,,,
trivcl_d15_28_hi_fever_d16,treatment_iv_clinical_beta,,text,Specify the max fever occurring in 24 hours after 6am for day D16,,,number,,,,[trivcl_d15_28_hi_fever_days(16)] = '1' ,,,,,,
trivcl_d15_28_hi_fever_d17,treatment_iv_clinical_beta,,text,Specify the max fever occurring in 24 hours after 6am for day D17,,,number,,,,[trivcl_d15_28_hi_fever_days(17)] = '1' ,,,,,,
trivcl_d15_28_hi_fever_d18,treatment_iv_clinical_beta,,text,Specify the max fever occurring in 24 hours after 6am for day D18,,,number,,,,[trivcl_d15_28_hi_fever_days(18)] = '1' ,,,,,,
trivcl_d15_28_hi_fever_d19,treatment_iv_clinical_beta,,text,Specify the max fever occurring in 24 hours after 6am for day D19,,,number,,,,[trivcl_d15_28_hi_fever_days(19)] = '1' ,,,,,,
trivcl_d15_28_hi_fever_d20,treatment_iv_clinical_beta,,text,Specify the max fever occurring in 24 hours after 6am for day D20,,,number,,,,[trivcl_d15_28_hi_fever_days(20)] = '1' ,,,,,,
trivcl_d15_28_hi_fever_d21,treatment_iv_clinical_beta,,text,Specify the max fever occurring in 24 hours after 6am for day D21,,,number,,,,[trivcl_d15_28_hi_fever_days(21)] = '1' ,,,,,,
trivcl_d15_28_hi_fever_d22,treatment_iv_clinical_beta,,text,Specify the max fever occurring in 24 hours after 6am for day D22,,,number,,,,[trivcl_d15_28_hi_fever_days(22)] = '1' ,,,,,,
trivcl_d15_28_hi_fever_d23,treatment_iv_clinical_beta,,text,Specify the max fever occurring in 24 hours after 6am for day D23,,,number,,,,[trivcl_d15_28_hi_fever_days(23)] = '1' ,,,,,,
trivcl_d15_28_hi_fever_d24,treatment_iv_clinical_beta,,text,Specify the max fever occurring in 24 hours after 6am for day D24,,,number,,,,[trivcl_d15_28_hi_fever_days(24)] = '1' ,,,,,,
trivcl_d15_28_hi_fever_d25,treatment_iv_clinical_beta,,text,Specify the max fever occurring in 24 hours after 6am for day D25,,,number,,,,[trivcl_d15_28_hi_fever_days(25)] = '1' ,,,,,,
trivcl_d15_28_hi_fever_d26,treatment_iv_clinical_beta,,text,Specify the max fever occurring in 24 hours after 6am for day D26,,,number,,,,[trivcl_d15_28_hi_fever_days(26)] = '1' ,,,,,,
trivcl_d15_28_hi_fever_d27,treatment_iv_clinical_beta,,text,Specify the max fever occurring in 24 hours after 6am for day D27,,,number,,,,[trivcl_d15_28_hi_fever_days(27)] = '1' ,,,,,,
trivcl_d15_28_hi_fever_d28,treatment_iv_clinical_beta,,text,Specify the max fever occurring in 24 hours after 6am for day D28,,,number,,,,[trivcl_d15_28_hi_fever_days(28)] = '1' ,,,,,,
trivcl_d15_28_tachy,treatment_iv_clinical_beta,,yesno,Did tachycardia on any day (yes/no)?,,,,,,,[trivcl_day] = '15' and [trivcl_d15_28_cont_pht] = '1' ,y,,,,,
trivcl_d15_28_tachy_days,treatment_iv_clinical_beta,,checkbox,Specify day(s) of tachycardia,"15,15 | 16,16 | 17,17 | 18,18 | 19,19 | 20,20 | 21,21 | 22,22 | 23,23 | 24,24 | 25,25 | 26,26 | 27,27 | 28,28",,,,,,[trivcl_day] = '15' and [trivcl_d15_28_cont_pht] = '1' and [trivcl_d15_28_tachy] = '1',y,,,,,
trivcl_d15_28_pain,treatment_iv_clinical_beta,,yesno,Did pain occur on any day (greater than any baseline pain),,,,,,,[trivcl_day] = '15' and [trivcl_d15_28_cont_pht] = '1' ,y,,,,,
trivcl_d15_28_pain_days,treatment_iv_clinical_beta,,checkbox,Specify day(s) of pain,"15,15 | 16,16 | 17,17 | 18,18 | 19,19 | 20,20 | 21,21 | 22,22 | 23,23 | 24,24 | 25,25 | 26,26 | 27,27 | 28,28",,,,,,[trivcl_day] = '15' and [trivcl_d15_28_cont_pht] = '1' and [trivcl_d15_28_pain] = '1',y,,,,,
trivcl_d15_28_pain_15,treatment_iv_clinical_beta,,text,Specify site of pain for day D15,,,,,,,[trivcl_d15_28_pain_days(15)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_pain_16,treatment_iv_clinical_beta,,text,Specify site of pain for day D16,,,,,,,[trivcl_d15_28_pain_days(16)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_pain_17,treatment_iv_clinical_beta,,text,Specify site of pain for day D17,,,,,,,[trivcl_d15_28_pain_days(17)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_pain_18,treatment_iv_clinical_beta,,text,Specify site of pain for day D18,,,,,,,[trivcl_d15_28_pain_days(18)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_pain_19,treatment_iv_clinical_beta,,text,Specify site of pain for day D19,,,,,,,[trivcl_d15_28_pain_days(19)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_pain_20,treatment_iv_clinical_beta,,text,Specify site of pain for day D20,,,,,,,[trivcl_d15_28_pain_days(20)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_pain_21,treatment_iv_clinical_beta,,text,Specify site of pain for day D21,,,,,,,[trivcl_d15_28_pain_days(21)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_pain_22,treatment_iv_clinical_beta,,text,Specify site of pain for day D22,,,,,,,[trivcl_d15_28_pain_days(22)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_pain_23,treatment_iv_clinical_beta,,text,Specify site of pain for day D23,,,,,,,[trivcl_d15_28_pain_days(23)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_pain_24,treatment_iv_clinical_beta,,text,Specify site of pain for day D24,,,,,,,[trivcl_d15_28_pain_days(24)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_pain_25,treatment_iv_clinical_beta,,text,Specify site of pain for day D25,,,,,,,[trivcl_d15_28_pain_days(25)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_pain_26,treatment_iv_clinical_beta,,text,Specify site of pain for day D26,,,,,,,[trivcl_d15_28_pain_days(26)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_pain_27,treatment_iv_clinical_beta,,text,Specify site of pain for day D27,,,,,,,[trivcl_d15_28_pain_days(27)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_pain_28,treatment_iv_clinical_beta,,text,Specify site of pain for day D28,,,,,,,[trivcl_d15_28_pain_days(28)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_inflam,treatment_iv_clinical_beta,,yesno,Any other signs or symptoms of inflammatory response on any day (yes/no)?,,,,,,,[trivcl_day] = '15' and [trivcl_d15_28_cont_pht] = '1' ,y,,,,,
trivcl_d15_28_inflam_days,treatment_iv_clinical_beta,,checkbox,Specify day(s) of inflammatory response,"15,15 | 16,16 | 17,17 | 18,18 | 19,19 | 20,20 | 21,21 | 22,22 | 23,23 | 24,24 | 25,25 | 26,26 | 27,27 | 28,28",,,,,,[trivcl_day] = '15' and [trivcl_d15_28_cont_pht] = '1' and [trivcl_d15_28_inflam] = '1',y,,,,,
trivcl_d15_28_inflam_15,treatment_iv_clinical_beta,,text,Specify what occurred for day D15,,,,,,,[trivcl_d15_28_inflam_days(15)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_inflam_16,treatment_iv_clinical_beta,,text,Specify what occurred for day D16,,,,,,,[trivcl_d15_28_inflam_days(16)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_inflam_17,treatment_iv_clinical_beta,,text,Specify what occurred for day D17,,,,,,,[trivcl_d15_28_inflam_days(17)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_inflam_18,treatment_iv_clinical_beta,,text,Specify what occurred for day D18,,,,,,,[trivcl_d15_28_inflam_days(18)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_inflam_19,treatment_iv_clinical_beta,,text,Specify what occurred for day D19,,,,,,,[trivcl_d15_28_inflam_days(19)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_inflam_20,treatment_iv_clinical_beta,,text,Specify what occurred for day D20,,,,,,,[trivcl_d15_28_inflam_days(20)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_inflam_21,treatment_iv_clinical_beta,,text,Specify what occurred for day D21,,,,,,,[trivcl_d15_28_inflam_days(21)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_inflam_22,treatment_iv_clinical_beta,,text,Specify what occurred for day D22,,,,,,,[trivcl_d15_28_inflam_days(22)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_inflam_23,treatment_iv_clinical_beta,,text,Specify what occurred for day D23,,,,,,,[trivcl_d15_28_inflam_days(23)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_inflam_24,treatment_iv_clinical_beta,,text,Specify what occurred for day D24,,,,,,,[trivcl_d15_28_inflam_days(24)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_inflam_25,treatment_iv_clinical_beta,,text,Specify what occurred for day D25,,,,,,,[trivcl_d15_28_inflam_days(25)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_inflam_26,treatment_iv_clinical_beta,,text,Specify what occurred for day D26,,,,,,,[trivcl_d15_28_inflam_days(26)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_inflam_27,treatment_iv_clinical_beta,,text,Specify what occurred for day D27,,,,,,,[trivcl_d15_28_inflam_days(27)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_inflam_28,treatment_iv_clinical_beta,,text,Specify what occurred for day D28,,,,,,,[trivcl_d15_28_inflam_days(28)] = '1' ,y,,,,,@CHARLIMIT='50'
trivcl_d15_28_dose_adj,treatment_iv_clinical_beta,,yesno,"Dose adjusted on any day based on ""kinetics"" results (yes/no)?",,,,,,,[trivcl_day] = '15' and [trivcl_d15_28_cont_pht] = '1' ,y,,,,,
trivcl_d15_28_dose_adj_change,treatment_iv_clinical_beta,,radio,Did the dose:,"inc, Dose increased | dec, Dose reduced | both, Both increases and reductions have occurred",,,,,,[trivcl_day] = '15' and [trivcl_d15_28_cont_pht] = '1' and [trivcl_d15_28_dose_adj] = '1' ,y,,,,,
trivcl_d15_28_clin_resp,treatment_iv_clinical_beta,,radio,What has been the clinical response to phage therapy?," cure, 1) Cure – no evidence of ongoing infection: resolution of clinical symptoms and signs, radiological and laboratory parameters of disease, and microbiological clearance of target pathogen from site of infection | partial, 2) Partial response | no_response, 3) No response – evidence of ongoing infection with worsening clinical signs and symptoms, radiological or laboratory parameters of disease",,,,,,[trivcl_day] = '15' and [trivcl_d15_28_cont_pht] = '0',y,,,,,
trivcl_d15_28_clin_resp_cure_dis,treatment_iv_clinical_beta,,radio,Select one of:,"no_disability, Without persisting disability | disability, With persisting disability",,,,,,[trivcl_day] = '15' and [trivcl_d15_28_cont_pht] = '0' and [trivcl_d15_28_clin_resp] = 'cure' ,y,,,,,
trivcl_d15_28_clin_resp_partial,treatment_iv_clinical_beta,,radio,Select one of:,"improvement, Improvement in clinical signs and symptoms, radiological or laboratory parameters of disease, but with evidence that infection is not completely resolved | stabilisation, Stabilisation of previously documented decline in function, but without obvious improvements, and evidence that infection is not completely resolved",,,,,,[trivcl_day] = '15' and [trivcl_d15_28_cont_pht] = '0' and [trivcl_d15_28_clin_resp] = 'partial' ,y,,,,,
trivlab_no_inclusion_msg,treatment_iv_labs_beta,,descriptive,"<div class=""rich-text-field-label""><h3><span style=""background-color: #e03e2d; color: #ffffff;"">     Patient DOES NOT MEET INCLUSION CRITERIA     </span></h3></div>",,,,,,,[sc_meets_inclusion] < 1,,,,,,
trivlab_descriptive,treatment_iv_labs_beta,,descriptive,"<div class=""header""><h2>Clinical IV Labs</h2> For treatments over TWO weeks, use the Monthly instrument. <br><br>This page opens when IV and/or oral/enteral phage therapy are selected from the Treatment page. </div>",,,,,,,,,,,,,
trivlab_noninclusion,treatment_iv_labs_beta,,descriptive,"<div class=""header"">This patient does not meet oral/enteral phage therapy requirements</div>",,,,,,,([tre_ph_0_rt(iv)] = '0' and [tre_ph_0_rt(oral)] = '0') and ([tre_ph_1_rt(iv)] = '0' and [tre_ph_1_rt(oral)] = '0') and ([tre_ph_2_rt(iv)] = '0' and [tre_ph_2_rt(oral)] = '0') and ([tre_ph_3_rt(iv)] = '0' and [tre_ph_3_rt(oral)] = '0') and ([tre_ph_4_rt(iv)] = '0' and [tre_ph_4_rt(oral)] = '0'),,,,,,
trivlab_day,treatment_iv_labs_beta,,radio,Select clinical day of treatment:,"0, D0 | 2, D2 | 4, D4 | 8, D8 | 11, D11 | 15, D15 | 29, D29 | other,Other Day (If additional relevant testing performed on any other day)",,,,,,"[sc_meets_inclusion] = ""1"" and ([tre_ph_0_rt(iv)] = '1' or [tre_ph_0_rt(oral)] = '1') or ([tre_ph_1_rt(iv)] = '1' or [tre_ph_1_rt(oral)] = '1') or ([tre_ph_2_rt(iv)] = '1' or [tre_ph_2_rt(oral)] = '1') or ([tre_ph_3_rt(iv)] = '1' or [tre_ph_3_rt(oral)] = '1') or ([tre_ph_4_rt(iv)] = '1' or [tre_ph_4_rt(oral)] = '1')",y,,,,,
trivlab_other_day,treatment_iv_labs_beta,,text,"Enter day of treatment (enter a number between 0-29, inclusive)",,,integer,,,,[trivlab_day] = 'other',y,,,,,
trivlab_other_day_test,treatment_iv_labs_beta,,notes,Test performed for day [trivlab_other_day],,,,,,,[trivlab_other_day] >= 0,y,,,,,
trivlab_other_day_result,treatment_iv_labs_beta,,notes,Result for day [trivlab_other_day],,,,,,,[trivlab_other_day] >= 0,y,,,,,
trivlab_crp,treatment_iv_labs_beta,CRP results,text,[[trivlab_day]] CRP result (XXX.X mg/mL),,,number_1dp,,,,[trivlab_day] >= 0 and [trivlab_day] and [trivlab_day] != 11,,,,,,
trivlab_crp_na,treatment_iv_labs_beta,,checkbox,[[trivlab_day]] Are CRP results NOT available?,"na, CRP results NOT available for [[trivlab_day]]",,,,,,[trivlab_crp] = '' and [trivlab_day] and [trivlab_day] >= 0 and [trivlab_day] != 11,y,,,,,
trivlab_esr,treatment_iv_labs_beta,ESR results,text,[[trivlab_day]] ESR result (XXX mm/h),,,integer,,,,[trivlab_day] >= 0 and [trivlab_day] and [trivlab_day] != 2 and [trivlab_day] != 11,,,,,,
trivlab_esr_na,treatment_iv_labs_beta,,checkbox,[[trivlab_day]] Are ESR results NOT available?,"na, ESR results NOT available for [[trivlab_day]]",,,,,,[trivlab_esr] = '' and [trivlab_day] and [trivlab_day] >= 0 and [trivlab_day] != 2 and [trivlab_day] != 11,y,,,,,
trivlab_procalc,treatment_iv_labs_beta,Procalcitonin results,text,[[trivlab_day]] Procalcitonin result (XX.XX ng/mL),,,number_2dp,,,,[trivlab_day] and [trivlab_day] >= 0 and [trivlab_day] != 11 and [trivlab_day] != 29,,,,,,
trivlab_procalc_na,treatment_iv_labs_beta,,checkbox,[[trivlab_day]] Are Procalcitonin results NOT available?,"na, ESR results NOT available for [[trivlab_day]]",,,,,,[trivlab_procalc] = '' and [trivlab_day] and [trivlab_day] >= 0 and [trivlab_day] != 11 and [trivlab_day] != 29,y,,,,,
trivlab_fbc_isnorm,treatment_iv_labs_beta,FBC,yesno,[[trivlab_day]] FBC all within normal range (yes/no)?,,,,,,,[trivlab_day] and [trivlab_day] >= 0,,,,,,
trivlab_hb,treatment_iv_labs_beta,Hb results,text,[[trivlab_day]] Hb result (XXX g/L),,,integer,,,,[trivlab_fbc_isnorm] = '0' and [trivlab_day] and [trivlab_day] >= 0,,,,,,
trivlab_hb_na,treatment_iv_labs_beta,,checkbox,[[trivlab_day]] Are Hb results NOT available?,"na, Hb results NOT available for [[trivlab_day]]",,,,,,[trivlab_hb] = '' and [trivlab_fbc_isnorm] = '0' and [trivlab_day] and [trivlab_day] >= 0,y,,,,,
